[2025-11-16 00:01:21] [WARN] [AUTH] CSRF validation failed: Missing token | {"hasHeader":false,"hasCookie":false,"method":"POST","path":"/auth/login","origin":"https://conmgr.com","host":"localhost:3000","ip":"::1","cookies":[],"headers":["host","user-agent","accept","content-type","origin","content-length"],"requestId":"unknown","user":null}
[2025-11-16 00:17:43] [WARN] [AUTH] CSRF validation failed: Missing token | {"hasHeader":false,"hasCookie":false,"method":"POST","path":"/auth/login","origin":"https://conmgr.com","host":"conmgr.com","ip":"192.168.80.140","cookies":["ZNPCQ003-34323600"],"headers":["connection","host","x-real-ip","x-forwarded-for","x-forwarded-proto","content-length","sec-fetch-site","priority","cookie","cache-control","cf-ray","pragma","user-agent","accept","accept-language","accept-encoding","content-type","origin","dnt","sec-gpc","referer","sec-fetch-dest","sec-fetch-mode","cdn-loop","cf-connecting-ip","cf-ipcountry","cf-visitor","via","x-forwarded-host","x-forwarded-server"],"requestId":"unknown","user":null}
[2025-11-16 00:29:04] [WARN] [AUTH] CSRF validation failed: Missing token | {"hasHeader":true,"hasCookie":false,"method":"POST","path":"/auth/login","host":"localhost:3000","ip":"::1","cookies":[],"headers":["host","user-agent","accept","content-type","x-csrf-token","content-length"],"requestId":"unknown","user":null}
[2025-11-16 00:29:30] [ERROR] [AUTH] Login error | {"error":"Invalid credentials","stack":"Error: Invalid credentials\n    at AuthService.login (/var/www/event-manager/dist/services/AuthService.js:49:19)\n    at async login (/var/www/event-manager/dist/controllers/authController.js:24:28)","email":"admin@eventmanager.com","host":"localhost:3000","userAgent":"curl/8.5.0","ip":"::1","csrfHeader":"present","csrfCookie":"present","requestId":"unknown","method":"POST","path":"/login","user":null}
[2025-11-16 00:29:48] [ERROR] [AUTH] Login error | {"error":"Invalid credentials","stack":"Error: Invalid credentials\n    at AuthService.login (/var/www/event-manager/dist/services/AuthService.js:49:19)\n    at async login (/var/www/event-manager/dist/controllers/authController.js:24:28)","email":"admin@eventmanager.com","host":"localhost:3000","userAgent":"curl/8.5.0","ip":"::1","csrfHeader":"present","csrfCookie":"present","requestId":"unknown","method":"POST","path":"/login","user":null}
[2025-11-16 00:43:43] [INFO] [AUTH] Login successful | {"userId":"cmhtexnb800008c275jyqkbyc","email":"admin@eventmanager.com","role":"ADMIN","requestId":"unknown","method":"POST","path":"/login","user":null,"ip":"192.168.80.140"}
[2025-11-16 02:48:39] [INFO] [AUTH] Login successful | {"userId":"cmhtexnb800008c275jyqkbyc","email":"admin@eventmanager.com","role":"ADMIN","requestId":"unknown","method":"POST","path":"/login","user":null,"ip":"192.168.80.140"}
[2025-11-16 03:04:20] [WARN] [AUTH] CSRF validation failed: Missing token | {"hasHeader":true,"hasCookie":false,"method":"POST","path":"/auth/login","host":"localhost:3000","ip":"::1","cookies":[],"headers":["host","user-agent","accept","content-type","x-csrf-token","content-length"],"requestId":"unknown","user":null}
[2025-11-16 03:08:10] [WARN] [AUTH] CSRF validation failed: Missing token | {"hasHeader":false,"hasCookie":false,"method":"POST","path":"/csrf-token","host":"localhost:3000","ip":"::1","cookies":[],"headers":["host","user-agent","accept"],"requestId":"unknown","user":null}
[2025-11-16 03:08:16] [WARN] [AUTH] CSRF validation failed: Missing token | {"hasHeader":true,"hasCookie":false,"method":"POST","path":"/auth/login","host":"localhost:3000","ip":"::1","cookies":[],"headers":["host","user-agent","accept","content-type","x-csrf-token","content-length"],"requestId":"unknown","user":null}
[2025-11-16 03:08:24] [ERROR] [AUTH] Login error | {"error":"Invalid credentials","stack":"Error: Invalid credentials\n    at AuthService.login (/var/www/event-manager/dist/services/AuthService.js:49:19)\n    at async login (/var/www/event-manager/dist/controllers/authController.js:24:28)","email":"admin@eventmanager.com","host":"localhost:3000","userAgent":"curl/8.5.0","ip":"::1","csrfHeader":"present","csrfCookie":"present","requestId":"unknown","method":"POST","path":"/login","user":null}
[2025-11-16 03:08:34] [ERROR] [AUTH] Login error | {"error":"Invalid credentials","stack":"Error: Invalid credentials\n    at AuthService.login (/var/www/event-manager/dist/services/AuthService.js:49:19)\n    at async login (/var/www/event-manager/dist/controllers/authController.js:24:28)","email":"admin@eventmanager.com","host":"localhost:3000","userAgent":"curl/8.5.0","ip":"::1","csrfHeader":"present","csrfCookie":"present","requestId":"unknown","method":"POST","path":"/login","user":null}
[2025-11-16 04:17:01] [ERROR] [AUTH] Login error | {"error":"Invalid credentials","stack":"Error: Invalid credentials\n    at AuthService.login (/var/www/event-manager/dist/services/AuthService.js:49:19)\n    at async login (/var/www/event-manager/dist/controllers/authController.js:24:28)","email":"admin@emailtest.com","host":"localhost:3000","userAgent":"curl/8.5.0","ip":"::1","csrfHeader":"present","csrfCookie":"present","requestId":"unknown","method":"POST","path":"/login","user":null}
[2025-11-16 12:15:18] [INFO] [AUTH] Login successful | {"userId":"cmhtexnb800008c275jyqkbyc","email":"admin@eventmanager.com","role":"ADMIN","requestId":"unknown","method":"POST","path":"/login","user":null,"ip":"192.168.80.140"}
[2025-11-16 12:55:18] [INFO] [AUTH] Login successful | {"userId":"cmhtexnb800008c275jyqkbyc","email":"admin@eventmanager.com","role":"ADMIN","requestId":"unknown","method":"POST","path":"/login","user":null,"ip":"192.168.80.140"}
